tripduration,starttime,stoptime,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bikeid,usertype,birth_year,gender
638,45:43.6,56:21.7,426,West St & Chambers St,40.71754834,-74.01322069,3660,W 16 St & 8 Ave,40.74102151,-74.00138497,26690,Subscriber,1988,1
1020,7/10/2016 23:51,7/11/2016 0:08,497,E 17 St & Broadway,40.73704984,-73.99009296,349,Rivington St & Ridge St,40.71850211,-73.98329859,18180,Subscriber,1977,1
690,2/7/2017 17:31,2/7/2017 17:42,492,W 33 St & 7 Ave,40.75019995,-73.99093085,3223,E 55 St & 3 Ave,40.75899656,-73.96865398,25757,Subscriber,1969,1
716,11/15/2016 18:33,11/15/2016 18:44,379,W 31 St & 7 Ave,40.749156,-73.9916,3263,Cooper Square & E 7 St,40.7292365,-73.99086803,26471,Subscriber,1972,1
277,4/24/2017 16:57,4/24/2017 17:01,3367,5 Ave & E 103 St,40.7922553,-73.95249933,3374,Central Park North & Adam Clayton Powell Blvd,40.799484,-73.955613,25207,Subscriber,1963,1
591,7/23/2016 20:36,7/23/2016 20:46,3166,Riverside Dr & W 72 St,40.78057799,-73.98562431,457,Broadway & W 58 St,40.76695317,-73.98169333,24850,Subscriber,1985,1
1830,3/13/2016 13:16,3/13/2016 13:47,528,2 Ave & E 31 St,40.74290902,-73.97706058,460,S 4 St & Wythe Ave,40.71285887,-73.96590294,14762,Subscriber,1990,1
406,11/7/2016 21:06,11/7/2016 21:13,423,W 54 St & 9 Ave,40.76584941,-73.98690506,281,Grand Army Plaza & Central Park S,40.7643971,-73.97371465,19719,Subscriber,1978,1
1235,05:16.4,25:52.1,3687,E 33 St & 1 Ave,40.74322681,-73.97449784,3156,E 72 St & York Ave,40.76663814,-73.95348296,29796,Subscriber,1985,2
322,7/21/2015 14:32,7/21/2015 14:37,491,E 24 St & Park Ave S,40.74096374,-73.98602213,285,Broadway & E 14 St,40.73454567,-73.99074142,21502,Subscriber,1948,1
310,9/3/2017 20:15,9/3/2017 20:20,433,E 13 St & Avenue A,40.72955361,-73.98057249,483,E 12 St & 3 Ave,40.73223272,-73.98889957,27879,Subscriber,1970,1
426,7/6/2017 10:47,7/6/2017 10:54,453,W 22 St & 8 Ave,40.74475148,-73.99915362,380,W 4 St & 7 Ave S,40.73401143,-74.00293877,28962,Subscriber,1985,2
2345,20:59.7,00:04.8,441,E 52 St & 2 Ave,40.756014,-73.967416,3258,W 27 St & 10 Ave,40.75018156,-74.00218427,32314,Customer,1969,0
793,2/10/2016 17:37,2/10/2016 17:51,491,E 24 St & Park Ave S,40.74096374,-73.98602213,350,Clinton St & Grand St,40.71559509,-73.9870295,14714,Subscriber,1971,1
332,12/4/2014 15:59,12/4/2014 16:05,435,W 21 St & 6 Ave,40.74173969,-73.99415556,462,W 22 St & 10 Ave,40.74691959,-74.00451887,14567,Subscriber,1983,1
