UPC,BU,PepsiBrand,SubBU,BrandSource,IsPepsiProduct,IsPepsiProductOld
3000001880,Quaker,IQO,Quaker,Corporate,True,True
3000032160,Quaker,IQO,Quaker,Corporate,True,True
3000026190,Quaker,IQO Premium,Quaker,Corporate,True,True
3000001190,Quaker,IQO,Quaker,Corporate,True,True
3000027113,Quaker,IQO,Quaker,Corporate,True,True
3000026335,Quaker,IQO,Quaker,Corporate,True,True
3000031958,Quaker,IQO,Quaker,Corporate,True,True
3000026872,Quaker,IQO,Quaker,Corporate,True,True
3000026920,Quaker,IQO,Quaker,Corporate,True,True
3000026948,Quaker,IQO,Quaker,Corporate,True,True
3000001240,Quaker,IQO,Quaker,Corporate,True,True
3000001320,Quaker,IQO,Quaker,Corporate,True,True
3000001210,Quaker,IQO,Quaker,Corporate,True,True
3000001499,Quaker,IQO,Quaker,Corporate,True,True
3000026966,Quaker,IQO,Quaker,Corporate,True,True
3000006322,Quaker,Life,Quaker,Corporate,True,True
3000006083,Quaker,Life,Quaker,Corporate,True,True
3000006354,Quaker,Life,Quaker,Corporate,True,True
3000006110,Quaker,Life,Quaker,Corporate,True,True
3000006119,Quaker,Life,Quaker,Corporate,True,True
3000031600,Quaker,Life,Quaker,Corporate,True,True
3000007060,Quaker,IQO,Quaker,Corporate,True,True
3000031780,Quaker,Quaker,Quaker,Corporate,True,True
3000031328,Quaker,QK Oat Squares Cereal,Quaker,Corporate,True,True
3000006153,Quaker,QK Oat Squares Cereal,Quaker,Corporate,True,True
3000006430,Quaker,QK Oat Squares Cereal,Quaker,Corporate,True,True
3000006441,Quaker,QK Oat Squares Cereal,Quaker,Corporate,True,True
3000001020,Quaker,SQO,Quaker,Corporate,True,True
3000001040,Quaker,SQO,Quaker,Corporate,True,True
3000001203,Quaker,SQO,Quaker,Corporate,True,True
3000032063,Quaker,SQO,Quaker,Corporate,True,True
3000004090,Quaker,Grits,Quaker,Corporate,True,True
3000031571,Quaker,IQO,Quaker,Corporate,True,True
3000031570,Quaker,IQO,Quaker,Corporate,True,True
